"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 23:59:13 GMT 2022","Tue Jul 05 23:59:15 GMT 2022","2063","","PortioTest","","PortioTest","deleteProfileTest","Adat vagy adatok törlése","Profil törlése"
"passed","Tue Jul 05 23:59:11 GMT 2022","Tue Jul 05 23:59:13 GMT 2022","1949","","PortioTest","","PortioTest","profileNewDataTest","Új adat bevitel","Felhasználó profiljába Új adat bevitel"
"passed","Tue Jul 05 23:59:15 GMT 2022","Tue Jul 05 23:59:19 GMT 2022","3210","","PortioTest","","PortioTest","articlesListTest","Több oldalas lista bejárása","Több oldalas lista bejárása, blog címek listázása az oldalakon"
"failed","Tue Jul 05 23:59:26 GMT 2022","Tue Jul 05 23:59:27 GMT 2022","998","","PortioTest","","PortioTest","regValidationTest","Regisztráció","Felhasználó regisztrálása az oldalra hibás email címmel"
"passed","Tue Jul 05 23:59:06 GMT 2022","Tue Jul 05 23:59:07 GMT 2022","942","","PortioTest","","PortioTest","xTest","Adatkezelési nyilatkozat használata","Adatkezelési nyilatkozat elutasítása"
"passed","Tue Jul 05 23:59:07 GMT 2022","Tue Jul 05 23:59:08 GMT 2022","1004","","PortioTest","","PortioTest","regMeTest","Regisztráció","Felhasználó regisztrálása az oldalra"
"passed","Tue Jul 05 23:59:08 GMT 2022","Tue Jul 05 23:59:09 GMT 2022","1654","","PortioTest","","PortioTest","loginMeTest","Bejelentkezés","Felhasználó Belépése az oldalra regisztráció után"
"passed","Tue Jul 05 23:59:19 GMT 2022","Tue Jul 05 23:59:22 GMT 2022","3143","","PortioTest","","PortioTest","saveBlogTextTest","Adatok lementése felületről","Blog bejegyzés bekeezdésének lementése fájlba"
"passed","Tue Jul 05 23:59:09 GMT 2022","Tue Jul 05 23:59:11 GMT 2022","1938","","PortioTest","","PortioTest","logoutTest","Kijelentkezése","Felhasználó Kilépése a fiókból"
"passed","Tue Jul 05 23:59:22 GMT 2022","Tue Jul 05 23:59:26 GMT 2022","3791","","PortioTest","","PortioTest","repeatedUserRegTest","Ismételt és sorozatos adatbevitel adatforrásból","Ismételt és sorozatos felhasználók regisztrálása adatforrásból "
"passed","Tue Jul 05 23:59:04 GMT 2022","Tue Jul 05 23:59:06 GMT 2022","1604","","PortioTest","","PortioTest","acceptTest","Adatkezelési nyilatkozat használata","Adatkezelési nyilatkozat elfogadása"
