"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 11 23:12:02 GMT 2022","Mon Jul 11 23:12:06 GMT 2022","3930","","PortioTest","","PortioTest","repeatedUserRegTest","Ismételt és sorozatos adatbevitel adatforrásból","Ismételt és sorozatos felhasználók regisztrálása adatforrásból "
"passed","Mon Jul 11 23:11:59 GMT 2022","Mon Jul 11 23:12:02 GMT 2022","3278","","PortioTest","","PortioTest","saveBlogTextTest","Adatok lementése felületről","Blog bejegyzés bekeezdésének lementése fájlba"
"passed","Mon Jul 11 23:11:46 GMT 2022","Mon Jul 11 23:11:46 GMT 2022","714","","PortioTest","","PortioTest","xTest","Adatkezelési nyilatkozat használata","Adatkezelési nyilatkozat elutasítása"
"passed","Mon Jul 11 23:11:53 GMT 2022","Mon Jul 11 23:11:55 GMT 2022","1848","","PortioTest","","PortioTest","deleteProfileTest","Adat vagy adatok törlése","Profil törlése"
"passed","Mon Jul 11 23:11:49 GMT 2022","Mon Jul 11 23:11:51 GMT 2022","1898","","PortioTest","","PortioTest","logoutTest","Kijelentkezése","Felhasználó Kilépése a fiókból"
"passed","Mon Jul 11 23:11:44 GMT 2022","Mon Jul 11 23:11:46 GMT 2022","1819","","PortioTest","","PortioTest","acceptTest","Adatkezelési nyilatkozat használata","Adatkezelési nyilatkozat elfogadása"
"passed","Mon Jul 11 23:11:48 GMT 2022","Mon Jul 11 23:11:49 GMT 2022","1847","","PortioTest","","PortioTest","loginMeTest","Bejelentkezés","Felhasználó Belépése az oldalra regisztráció után"
"passed","Mon Jul 11 23:11:55 GMT 2022","Mon Jul 11 23:11:59 GMT 2022","3461","","PortioTest","","PortioTest","articlesListTest","Több oldalas lista bejárása","Több oldalas lista bejárása, blog címek listázása az oldalakon"
"failed","Mon Jul 11 23:12:06 GMT 2022","Mon Jul 11 23:12:07 GMT 2022","969","","PortioTest","","PortioTest","regValidationTest","Regisztráció","Felhasználó regisztrálása az oldalra hibás email címmel"
"passed","Mon Jul 11 23:11:46 GMT 2022","Mon Jul 11 23:11:48 GMT 2022","1045","","PortioTest","","PortioTest","regMeTest","Regisztráció","Felhasználó regisztrálása az oldalra"
"passed","Mon Jul 11 23:11:51 GMT 2022","Mon Jul 11 23:11:53 GMT 2022","2107","","PortioTest","","PortioTest","profileNewDataTest","Új adat bevitel","Felhasználó profiljába Új adat bevitel"
