"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 20:01:28 GMT 2022","Mon Jul 04 20:01:29 GMT 2022","929","","PortioTest","","PortioTest","regMeTest","regMeTest()",""
"passed","Mon Jul 04 20:01:25 GMT 2022","Mon Jul 04 20:01:28 GMT 2022","3130","","PortioTest","","PortioTest","articlesListTest","articlesListTest()",""
"passed","Mon Jul 04 20:01:34 GMT 2022","Mon Jul 04 20:01:36 GMT 2022","1456","","PortioTest","","PortioTest","loginMeTest","loginMeTest()",""
"passed","Mon Jul 04 20:01:20 GMT 2022","Mon Jul 04 20:01:22 GMT 2022","1480","","PortioTest","","PortioTest","acceptTest","acceptTest()",""
"passed","Mon Jul 04 20:01:31 GMT 2022","Mon Jul 04 20:01:32 GMT 2022","1694","","PortioTest","","PortioTest","profileNewDataTest","profileNewDataTest()",""
"passed","Mon Jul 04 20:01:36 GMT 2022","Mon Jul 04 20:01:39 GMT 2022","3497","","PortioTest","","PortioTest","repeatedUserRegTest","repeatedUserRegTest()",""
"passed","Mon Jul 04 20:01:32 GMT 2022","Mon Jul 04 20:01:33 GMT 2022","596","","PortioTest","","PortioTest","xTest","xTest()",""
"passed","Mon Jul 04 20:01:22 GMT 2022","Mon Jul 04 20:01:25 GMT 2022","2910","","PortioTest","","PortioTest","saveBlogTextTest","saveBlogTextTest()",""
"passed","Mon Jul 04 20:01:29 GMT 2022","Mon Jul 04 20:01:31 GMT 2022","1715","","PortioTest","","PortioTest","logoutTest","logoutTest()",""
"passed","Mon Jul 04 20:01:33 GMT 2022","Mon Jul 04 20:01:34 GMT 2022","1597","","PortioTest","","PortioTest","deleteProfileTest","deleteProfileTest()",""
