"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 00:42:05 GMT 2022","Tue Jul 05 00:42:08 GMT 2022","2345","","PortioTest","","PortioTest","acceptTest","acceptTest()","Terms and Condition accept"
"passed","Tue Jul 05 00:42:26 GMT 2022","Tue Jul 05 00:42:30 GMT 2022","4127","","PortioTest","","PortioTest","repeatedUserRegTest","repeatedUserRegTest()","Repeated user registration"
"passed","Tue Jul 05 00:42:22 GMT 2022","Tue Jul 05 00:42:22 GMT 2022","658","","PortioTest","","PortioTest","xTest","xTest()","Terms and Condition decline"
"passed","Tue Jul 05 00:42:17 GMT 2022","Tue Jul 05 00:42:19 GMT 2022","1940","","PortioTest","","PortioTest","logoutTest","logoutTest()","Logout"
"passed","Tue Jul 05 00:42:16 GMT 2022","Tue Jul 05 00:42:17 GMT 2022","1023","","PortioTest","","PortioTest","regMeTest","regMeTest()","User Registration"
"passed","Tue Jul 05 00:42:22 GMT 2022","Tue Jul 05 00:42:24 GMT 2022","1904","","PortioTest","","PortioTest","deleteProfileTest","deleteProfileTest()","Delete profile"
"passed","Tue Jul 05 00:42:12 GMT 2022","Tue Jul 05 00:42:15 GMT 2022","3640","","PortioTest","","PortioTest","articlesListTest","articlesListTest()","List from articles title"
"passed","Tue Jul 05 00:42:08 GMT 2022","Tue Jul 05 00:42:12 GMT 2022","3812","","PortioTest","","PortioTest","saveBlogTextTest","saveBlogTextTest()","Save data from Site"
"passed","Tue Jul 05 00:42:24 GMT 2022","Tue Jul 05 00:42:26 GMT 2022","1726","","PortioTest","","PortioTest","loginMeTest","loginMeTest()","Login"
"passed","Tue Jul 05 00:42:19 GMT 2022","Tue Jul 05 00:42:22 GMT 2022","2171","","PortioTest","","PortioTest","profileNewDataTest","profileNewDataTest()","Profile modification"
"failed","Tue Jul 05 00:42:15 GMT 2022","Tue Jul 05 00:42:16 GMT 2022","1003","","PortioTest","","PortioTest","regValidationTest","regValidationTest()","User Registration"
