"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 03 11:00:09 GMT 2022","Sun Jul 03 11:00:10 GMT 2022","168","","PortioTest","","PortioTest","xTest","xTest()",""
"broken","Sun Jul 03 11:00:09 GMT 2022","Sun Jul 03 11:00:09 GMT 2022","178","","PortioTest","","PortioTest","regMeTest","regMeTest()",""
"broken","Sun Jul 03 11:00:10 GMT 2022","Sun Jul 03 11:00:10 GMT 2022","168","","PortioTest","","PortioTest","loginMeTest","loginMeTest()",""
"broken","Sun Jul 03 11:00:09 GMT 2022","Sun Jul 03 11:00:09 GMT 2022","170","","PortioTest","","PortioTest","logoutTest","logoutTest()",""
"broken","Sun Jul 03 11:00:08 GMT 2022","Sun Jul 03 11:00:09 GMT 2022","925","","PortioTest","","PortioTest","acceptTest","acceptTest()",""
"broken","Sun Jul 03 11:00:10 GMT 2022","Sun Jul 03 11:00:10 GMT 2022","176","","PortioTest","","PortioTest","deleteProfileTest","deleteProfileTest()",""
"broken","Sun Jul 03 11:00:09 GMT 2022","Sun Jul 03 11:00:09 GMT 2022","165","","PortioTest","","PortioTest","profileNewDataTest","profileNewDataTest()",""
"broken","Sun Jul 03 11:00:09 GMT 2022","Sun Jul 03 11:00:09 GMT 2022","170","","PortioTest","","PortioTest","articlesListTest","articlesListTest()",""
