"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 02:18:19 GMT 2022","Mon Jul 04 02:18:22 GMT 2022","2987","","PortioTest","","PortioTest","saveBlogTextTest","saveBlogTextTest()",""
"passed","Mon Jul 04 02:18:22 GMT 2022","Mon Jul 04 02:18:25 GMT 2022","3457","","PortioTest","","PortioTest","articlesListTest","articlesListTest()",""
"passed","Mon Jul 04 02:18:28 GMT 2022","Mon Jul 04 02:18:30 GMT 2022","1877","","PortioTest","","PortioTest","profileNewDataTest","profileNewDataTest()",""
"passed","Mon Jul 04 02:18:31 GMT 2022","Mon Jul 04 02:18:32 GMT 2022","1802","","PortioTest","","PortioTest","deleteProfileTest","deleteProfileTest()",""
"passed","Mon Jul 04 02:18:30 GMT 2022","Mon Jul 04 02:18:31 GMT 2022","659","","PortioTest","","PortioTest","xTest","xTest()",""
"passed","Mon Jul 04 02:18:26 GMT 2022","Mon Jul 04 02:18:28 GMT 2022","1760","","PortioTest","","PortioTest","logoutTest","logoutTest()",""
"passed","Mon Jul 04 02:18:32 GMT 2022","Mon Jul 04 02:18:34 GMT 2022","1609","","PortioTest","","PortioTest","loginMeTest","loginMeTest()",""
"passed","Mon Jul 04 02:18:17 GMT 2022","Mon Jul 04 02:18:19 GMT 2022","1678","","PortioTest","","PortioTest","acceptTest","acceptTest()",""
"broken","Mon Jul 04 02:18:34 GMT 2022","Mon Jul 04 02:18:38 GMT 2022","3897","","PortioTest","","PortioTest","repeatedUserRegTest","repeatedUserRegTest()",""
"passed","Mon Jul 04 02:18:25 GMT 2022","Mon Jul 04 02:18:26 GMT 2022","1035","","PortioTest","","PortioTest","regMeTest","regMeTest()",""
